,Academic_Calendar_IntakeStart,Academic_Calendar_NextIntake,Academic_Calendar_Public_Holidays,Academic_Calendar_Registration_Period,Academic_Calendar_Semester_Dates,Bill_Installment_Eligibility,Bill_Installment_Late_Penalty,Bill_Installment_Plan_Application,Bill_Installment_Schedule,Bus_Services_Operating_Days,Bus_Services_Routes,Bus_Services_Schedule,Change_Of_Program_Cross_Faculty,Change_Of_Program_Same_Faculty,Cocurriculum_Graduation_Impact,Cocurriculum_Repeat_Policy,Cocurriculum_Requirement,Cocurriculum_Selection_Process,Contact_Admissions,Contact_AdmissionsOffice,Contact_General_Enquiry,Contact_Student_Affairs,Course_Info_Degree_Programmes,Course_Info_Diploma_Programmes,Course_Info_Faculties_Overview,Course_Info_Foundation_Programmes,Course_Info_Prospectus,Course_Reg_Add_Drop,Course_Reg_Clash_Timetable,Course_Reg_Deadline,Course_Reg_Online_Portal,Course_Reg_Process,Dress_Code,Enrollment_International_Passport_Application,Enrollment_New_Application,Enrollment_New_Intake,Enrollment_Processing_Fee,Enrollment_Required_Documents,Enrollment_Requirements,Facilities_Canteens_Food,Facilities_Overview,Facilities_Printing_Services,Facilities_Sports_Complex,Facilities_Study_Spaces,Faculty_Info_Academic_Advisor,Faculty_Info_Lecturer_Consultation,Faculty_Info_Office_Hours,Faculty_Info_Office_Location,Faculty_Info_Which_Faculty_For_Programme,Goodbyes,Greetings,Hostel_Application,IT_Support_Email_Issues,IT_Support_Helpdesk_Location,IT_Support_Password_Reset,IT_Support_Portal_Access,IT_Support_WiFi_Issue,Language_Of_Instruction,Library_Borrowing_Books,Library_Discussion_Room_Booking,Library_Discussion_Room_Key,Library_Late_Fine,Library_Opening_Hours,Library_Renewing_Books,Merit_Scholarships_Available,Orientation_Duration,Orientation_Events,Orientation_Necessity,Orientation_What_To_Bring,Out_Of_Scope,PTPTN_Loan_Status,PTPTN_Portal_Access,PTPTN_Required_Documents,Parking_Sticker_Registration,Ptptn_Application_Process,Ptptn_Disbursement,Ptptn_Eligibility,Ptptn_Repayment,SSPN_Account_Requirement,Scholarship_Application_Process,Scholarship_Merit_Criteria,Scholarship_Other_Types,Scholarship_Renewal,Student_ID_Collection,Student_ID_First_Application,Student_ID_Replacement,Student_ID_Usage,Tuition_Fee_Amount_By_Program,Tuition_Fee_Late_Penalty,Tuition_Fee_Payment_Deadline,Tuition_Fee_Payment_Methods
Academic_Calendar_IntakeStart,40,30,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academic_Calendar_NextIntake,0,25,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academic_Calendar_Public_Holidays,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academic_Calendar_Registration_Period,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academic_Calendar_Semester_Dates,0,13,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Installment_Eligibility,0,0,0,0,0,43,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Bill_Installment_Late_Penalty,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Bill_Installment_Plan_Application,0,0,0,0,0,10,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill_Installment_Schedule,0,0,0,0,0,0,0,13,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus_Services_Operating_Days,0,0,0,0,0,0,0,0,0,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
